BLR,9432,11,13,75,3,2,-1,1560
BGR,6844,9,16,75,5,2,-8,1506
HUN,9606,9,13,77,4,2,-3,2015
MDA,4013,9,12,72,11,1,-3,541
POL,37739,9,11,79,3,1,-2,7553
ROM,19031,9,13,76,6,2,-5,3822
RUS,145806,12,13,73,5,2,-1,24004
SVK,5460,10,10,78,4,2,0,968
CZE,10736,10,11,80,2,2,1,2222
UKR,43192,9,15,72,6,1,-6,7615
DEU,83884,9,12,82,2,2,-2,18699
AUT,9067,10,10,82,2,2,2,1795
BE,11668,11,10,82,2,2,3,2322
FRA,65585,11,10,83,3,2,2,14034
LUX,642,10,7,83,3,1,11,96
NLD,17211,10,9,83,2,2,2,3592
CHE,8774,10,8,84,3,2,7,1729
DNK,5835,11,10,81,3,2,4,1199
EST,1322,10,12,79,2,2,-3,279
FIN,5555,9,10,82,1,1,1,1296
IRL,5020,11,6,83,2,2,7,764
ISL,345,12,7,83,1,2,6,57
LVA,1849,10,15,76,3,2,-10,396
LTU,2662,10,14,76,4,2,-3,573
NOR,5511,11,8,83,2,2,8,996
GBR,68498,11,10,82,3,2,4,13047
SWE,10219,12,9,83,2,2,6,2108
ALB,2866,11,9,79,7,2,-3,453
BIH,3249,8,11,78,5,1,-4,621
HRV,4059,8,13,79,4,1,-5,895
ESP,46719,8,10,84,2,1,-1,9673
GRC,10317,7,11,83,2,1,-5,2377
ITA,60263,7,11,84,2,1,-2,14416
MKD,2081,10,10,76,10,1,-1,318
MLT,444,10,9,83,4,2,3,99
MNE,628,11,11,77,2,2,0,104
PRT,10141,8,11,83,2,1,-3,2386
RSB,8653,9,13,76,4,1,-5,1703
SVN,2078,9,10,82,2,2,-1,452