Pays;Population totale (en milliers);Taux de natalitÈ;Taux de mortalitÈ;EspÈrance de vie;Taux de mortalitÈ infantile;Nombre d?enfant(s) par femme;Taux de croissance;Population de 65 ans et plus (en milliers)
Biélorussie;9432.8;11.002;12.52;75.199;2.515;1.735;-1.24;1559.9
Bulgarie;6844.6;8.67;15.615;75.427;5.444;1.606;-7.63;1506.1
Hongrie;9606.26;9.334;12.875;77.282;3.533;1.541;-2.99;2015.3
Moldavie;4013.17;9.429;11.947;72.247;10.755;1.302;-2.83;541.0
Pologne;37739.8;9.249;10.573;79.214;2.819;1.464;-1.63;7553.2
Roumanie;19031.3;9.353;13.367;76.446;5.835;1.649;-4.82;3822.3
Russie;145806.0;11.514;12.96;72.986;4.813;1.831;-0.97;24003.7
Slovaquie;5460.19;9.91;10.292;77.952;4.161;1.551;-0.24;967.9
TchÈquie;10736.8;9.809;10.816;79.795;2.005;1.684;0.99;2221.6
Ukraine;43192.1;8.69;15.186;72.445;6.076;1.434;-6.43;7614.7
Europe de l'Est;291863.0;10.385;12.911;74.446;4.661;1.674;-2.29;51805.7
Allemagne;83884.0;9.4;11.7;81.8;2.3;1.62;-2.29;18699.0
Autriche;9067.0;10.0;10.0;82.0;2.4;1.57;2.1;1795.0
Belgique;11668.0;10.6;9.8;82.1;2.4;1.72;2.9;2322.0
France (métropolitaine);65585.0;10.9;9.5;83.1;2.7;1.84;2.4;14034.0
Luxembourg;642.0;10.3;7.1;82.7;2.5;1.41;11.0;96.0
Pays-Bas;17211.0;10.1;9.1;82.7;2.1;1.67;2.2;3592.0
Suisse;8774.0;10.1;8.2;84.2;3.0;1.55;6.5;1729.0
Anglo-Normandes (Îles);176.0;9.8;7.9;83.5;5.7;1.53;6.6;33.0
Danemark;5835.0;11.1;10.0;81.3;2.7;1.77;3.7;1199.0
Estonie;1322.0;9.9;12.1;79.2;1.7;1.63;-2.83;279.0
Finlande;5555.0;8.6;10.0;82.4;1.4;1.42;1.1;1296.0
Irlande;5020.0;11.4;6.4;82.8;2.0;1.79;6.9;764.0
Islande;345.0;11.5;6.9;83.4;1.0;1.71;5.8;57.0
Lettonie;1849.0;10.0;14.9;75.7;2.9;1.75;-9.5;396.0
Lituanie;2662.0;9.9;14.3;76.4;3.6;1.7;-2.83;573.0
Norvège;5511.0;11.1;7.9;82.9;1.7;1.69;8.4;996.0
Royaume Uni;68498.0;11.3;9.5;81.7;3.4;1.75;4.1;13047.0
Suède;10219.0;11.7;9.1;83.3;1.7;1.84;5.7;2108.0
Albanie;2866.0;11.1;8.6;78.9;7.3;1.55;-2.5;453.0
Bosnie-Herzégovine;3249.0;7.5;11.4;77.8;5.2;1.23;-4.1;621.0
Croatie;4059.0;8.4;13.3;78.9;3.5;1.41;-5.4;895.0
Espagne;46719.0;7.9;9.5;83.9;2.0;1.38;-0.7;9673.0
Grèce;10317.0;7.0;11.3;82.7;2.4;1.27;-5.3;2377.0
Italie;60263.0;7.1;10.9;83.9;2.2;1.3;-1.8;14416.0
Macédoine du Nord;2081.0;10.1;10.4;76.2;9.5;1.47;-0.8;318.0
Malte;444.0;9.7;8.9;83.0;4.3;1.5;2.8;99.0
Monténégro;628.0;11.4;10.8;77.3;2.3;1.75;-0.2;104.0
Portugal;10141.0;7.7;11.1;82.6;2.4;1.34;-2.7;2386.0
Serbie;8653.0;9.1;13.3;76.4;4.2;1.43;-5.4;1703.0
Slovénie;2078.0;9.0;10.4;81.8;1.6;1.63;-0.5;452.0